sq_candidato,grau_instrucao,ocupacao,estado_civil,cor_raca,data_nascimento,foto_url,sites_tse,bens_total,prestacao_total_recebido,prestacao_total_despesas_contratadas,prestacao_total_despesas_pagas,prestacao_data_atualizacao,tse_divulga_url
180002551954,Ensino Médio completo,Empregado Doméstico,Solteiro(a),BRANCA,1990-09-29,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002551954/PI,HTTPS://WWW.INSTAGRAM.COM/CIDA_THE,,14082.34,3961,3961,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002551954/2026/PI
180002553895,Superior completo,Professor de Ensino Médio,Solteiro(a),BRANCA,1975-08-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002553895/PI,,,,,,1989-12-31,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002553895/2026/PI
180002553899,Ensino Médio completo,"Carpinteiro, Marceneiro e Assemelhados",Casado(a),PARDA,1980-06-14,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002553899/PI,,,,,,1989-12-31,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002553899/2026/PI
180002536218,Superior completo,Deputado,Casado(a),PARDA,1968-04-28,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536218/PI,HTTPS://WWW.INSTAGRAM.COM/CORONELCARLOSAUGUSTO/ | HTTPS://WWW.FACEBOOK.COM/PROFILE.PHP?ID=100009100534921 | HTTPS://CORONELCARLOSAUGUSTO.COM.BR/ | HTTPS://WWW.THREADS.COM/@CORONELCARLOSAUGUSTO | HTTPS://X.COM/DEPCORONEL | HTTPS://WWW.TIKTOK.COM/@CORONELCARLOSAUGUSTO?%20R=1&_T%20ZS%2098IGTN4E28V,2419618,706242,393907.5,76500,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536218/2026/PI
180002553902,Ensino Médio completo,Agente de Saúde e Sanitarista,Casado(a),PARDA,1974-04-01,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002553902/PI,https://www.instagram.com/nildanunespiaui/ | https://web.facebook.com/nilda.nunes.503,235000,312500,235224.21,235223.91,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002553902/2026/PI
180002533566,Superior completo,Policial Civil,Casado(a),PARDA,1982-03-18,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002533566/PI,https://@DANIELDAMARIINHA,690000,369232.99,289699.13,174219.13,17/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002533566/2026/PI
180002533558,Superior completo,Professor de Ensino Médio,Solteiro(a),BRANCA,1974-04-26,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002533558/PI,https://fabiolapiaui.com.br | https://www.facebook.com/fabiolapiaui/ | https://https://www.instagram.com/fabiolapiaui/? | https://www.instagram.com/fabiolapiaui/,4071.0800000000004,105972.5,77370.5,25000.5,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002533558/2026/PI
180002533552,Ensino Médio completo,Trabalhador Rural,Solteiro(a),PRETA,1964-09-03,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002533552/PI,HTTPS://WWW.INSTAGRAM.COM/MARIAPTQN/,16199.34,108215,79424.15,49224.15,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002533552/2026/PI
180002534828,Ensino Médio completo,Motorista de Veículos de Transporte de Carga,Solteiro(a),PRETA,1977-08-24,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534828/PI,,320000,100000,44383.34,44084.58,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534828/2026/PI
180002534827,Superior completo,Deputado,Casado(a),PARDA,1977-03-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534827/PI,,2797804.75,218000,285112.11,112460.11,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534827/2026/PI
