ano,numero_emenda,tipo,funcao,valor_empenhado,valor_pago,municipio_beneficiario,parlamentar_id,parlamentar_nome
2026,001/2026,Emenda Impositiva Municipal,Construção de Galerias- (órgão: SAAD-NORTE - SUPERINTENDENCIA DE AÇÕES ADMINISTRATIVAS DESCENTRALIZADAS-NORTE),250969.85,,Teresina,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,002/2026,Emenda Impositiva Municipal,Estruturação e qualificação das Lavanderias Solidárias de Teresina (órgão: SEMDEC - SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO E TURISMO),99000.0,,Teresina,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,003/2026,Emenda Impositiva Municipal,"Realização de multirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia t (órgão: FMS - FUNDAÇÃO MUNICIPAL DE SAÚDE)",1407000.0,,05502119000186 - FUNDAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL DO ESTADO DO PIAUÍ - FUNDESP,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,004/2026,Emenda Impositiva Municipal,"Evento: ""Caminhe e Corra"" prática de corrida, caminhada e pedal aos domingos (órgão: SEMEL - SECRETARIA MUNICIPAL DE ESPORTE E LAZER)",100000.0,,19867575000134 - INSTITUTO DE DESENVOLVIMENTO SOCIAL BATGOL,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,005/2026,Emenda Impositiva Municipal,Apoio de Infraestrutura para eventos nos bairros (órgão: FCMC - FUNDAÇÃO CULTURAL MONSENHOR CHAVES),407000.0,,19867575000134 - INSTITUTO DE DESENVOLVIMENTO SOCIAL BATGOL,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,006/2026,Emenda Impositiva Municipal,"Programa e Projeto: ""Redes de Esporte"" foco nos bairros de maior vulnerabilidade social (órgão: SEMEL - SECRETARIA MUNICIPAL DE ESPORTE E LAZER)",110000.0,,19867575000134 - INSTITUTO DE DESENVOLVIMENTO SOCIAL BATGOL,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,007/2026,Emenda Impositiva Municipal,Evento Festival de Musica Instrumental e popular (órgão: FCMC - FUNDAÇÃO CULTURAL MONSENHOR CHAVES),540000.0,,19867575000134 - INSTITUTO DE DESENVOLVIMENTO SOCIAL BATGOL,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,008/2026,Emenda Impositiva Municipal,Aquisição de Equipamentos para Atenção Especializada (UPAS/Hospitais/Maternidades/CAPS) (órgão: FMS - FUNDAÇÃO MUNICIPAL DE SAÚDE),50000.0,,06870091000100 - AÇÃO SOCIAL ARQUIDIOCESANA,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,009/2026,Emenda Impositiva Municipal,Reforma e manutenção de Unidades da Atenção Especializada (órgão: FMS - FUNDAÇÃO MUNICIPAL DE SAÚDE),49995.0,,04169928000155 - ASSOCIAÇÃO DE AMIGOS DOS AUTISTAS DO PIAUI - AMA,cmt-180002534810,EDUARDO DA SILVA OLIVEIRA
2026,001/2026,Emenda Impositiva Municipal,"Realização de multirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro (órgão: FMS - FUNDAÇÃO MUNICIPAL DE SAÚDE)",707000.0,,03048254000178 - ASSOCIAÇÃO PIAUIENSE DESENVOLVER - APD,cmt-180002533563,ELZUILA ALVES CALISTO
2026,002/2026,Emenda Impositiva Municipal,"Programa e Projeto: ""Redes de Esporte"" foco nos bairros de maior vulnerabilidade social (órgão: SEMEL - SECRETARIA MUNICIPAL DE ESPORTE E LAZER)",200000.0,,13131451000100 - FEDERAÇÃO DE ESPORTE CULTURA ASSISTÊNCIA SOCIAL DO PIAUI - FECASP,cmt-180002533563,ELZUILA ALVES CALISTO
2026,003/2026,Emenda Impositiva Municipal,"Programa e Projeto: ""Redes de Esporte"" foco nos bairros de maior vulnerabilidade social (órgão: SEMEL - SECRETARIA MUNICIPAL DE ESPORTE E LAZER)",200000.0,,13131451000100 - FEDERAÇÃO DE ESPORTE CULTURA ASSISTÊNCIA SOCIAL DO PIAUI - FECASP,cmt-180002533563,ELZUILA ALVES CALISTO
2026,004/2026,Emenda Impositiva Municipal,Programa e Projeto: iniciação ao esporte com a implantação de atividade física e melhoria na qualidade de vida na terceira idade através da modalidade (órgão: SEMEL - SECRETARIA MUNICIPAL DE ESPORTE E LAZER),200000.0,,11719555000104 - INSTITUTO DE DESENVOLVIMENTO E ASSISTENCIA SOCIAL DO PIAUI - IDASPI,cmt-180002533563,ELZUILA ALVES CALISTO
2026,005/2026,Emenda Impositiva Municipal,Evento Musica para a Cidade (órgão: FCMC - FUNDAÇÃO CULTURAL MONSENHOR CHAVES),207000.0,,11719555000104 - INSTITUTO DE DESENVOLVIMENTO E ASSISTENCIA SOCIAL DO PIAUI - IDASPI,cmt-180002533563,ELZUILA ALVES CALISTO
