parlamentar_id,ano,emenda_numero,status,modalidade,beneficiario_nome,localidade_beneficiada,objetivo_titulo,valor
ALEPI-37,2026,202630920433,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,MUNICÍPIO DE ALTO LONGÁ - PI E REGIÕES ADJACENTES,"PROMOVER O ACESSO AO LAZER, A INTEGRAÇAO SOCIAL E A DIVERSIDADE CULTURAL NOS TERRITÓRIOS DE DESENVOLVIMENTO DO ESTADO.",300000.0
ALEPI-37,2026,202630920451,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DO TURISMO DO PIAUI - SETUR,TERESINA,"AÇÃO QUE ENVOLVE A EXECUÇÃO DAS SEGUINTES ATIVIDADES:ACOMPANHAMENTO TÉCNICO AOS MUNICÍPIOS, PROMOÇÃO E DIVULGAÇÃO, REALIZAÇÃO DE PESQUISAS, PARTICIPAÇÃO DE FEIRAS E EVENTOS, APOIO À REALIZAÇÃO DE EVENTOS, INVENTARIO DA OFERTA TURÍSTICA, ELABORAÇÃO E EXECUÇÃO DO PLANO DE MARKETING.",300000.0
ALEPI-37,2026,202630920673,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,PEDRO II,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",220000.0
ALEPI-37,2026,202630920751,Aprovada,Transferências com finalidade definida,FUNDO ESTADUAL DE SAÚDE - FUNSAUDE,Estado do Piauí,MELHORAR A QUALIDADE EM SAÚDE DO ESTADO DO PIAUÍ EM TODAS AS REGIÕES DE SAÚDE.,1000000.0
ALEPI-37,2026,202630920765,Cancelada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,SÃO FELIX DO PIAUÍ,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,150000.0
ALEPI-37,2026,202630920778,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,SÃO FELIX DO PIAUÍ,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,90000.0
ALEPI-37,2026,202630920779,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,SÃO FELIX DO PIAUÍ,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,60000.0
ALEPI-37,2026,202630920784,Aprovada,Transferências com finalidade definida,SECRETARIA DA IRRIGAÇÃO E INFRAESTRUTURA HÍDRICA - SEFIR,DIRCEU ARCOVERDE,"FORTALECER E AMPLIAR AS CONDIÇÕES DA POPULAÇÃO NO ENFRENTAMENTO À SECA, MELHORANDO ASSIM A QUALIDADE DE VIDA POR MEIO DO ABASTECIMENTO. ",677262.0
ALEPI-37,2026,202630920791,Cancelada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,PARNAÍBA,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",220000.0
ALEPI-37,2026,202630920844,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,FRANCISCO AYRES,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,100000.0
