parlamentar_id,parlamentar_nome,ano,numero_emenda,tipo,funcao,valor_empenhado,valor_pago,municipio_beneficiario
123086,Átila Lira,2023,0004,Emenda Individual - Transferências com Finalidade Definida,Agricultura,"491.755,65","21.955,74",PIAUÍ (UF)
123086,Átila Lira,2023,0003,Emenda Individual - Transferências com Finalidade Definida,Saúde,"1.099.900,00","25.900,00",BATALHA - PI
123086,Átila Lira,2023,0002,Emenda Individual - Transferências com Finalidade Definida,Saúde,"3.003.000,00","0,00",PARNAÍBA - PI
123086,Átila Lira,2023,0001,Emenda Individual - Transferências com Finalidade Definida,Saúde,"11.949.598,00","11.949.598,00",MÚLTIPLO
123086,Átila Lira,2023,0005,Emenda Individual - Transferências Especiais,Encargos especiais,"15.558.949,00","15.558.949,00",MÚLTIPLO
123086,Átila Lira,2024,0003,Emenda Individual - Transferências com Finalidade Definida,Assistência social,"10,00","10,00",PIRIPIRI - PI
123086,Átila Lira,2024,0005,Emenda Individual - Transferências com Finalidade Definida,Educação,"199.724,00","0,00",PIAUÍ (UF)
123086,Átila Lira,2024,0006,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"35,00","348.600,00",Nacional
123086,Átila Lira,2024,0004,Emenda Individual - Transferências com Finalidade Definida,Educação,"699.728,07","0,00",PIAUÍ (UF)
123086,Átila Lira,2024,0002,Emenda Individual - Transferências Especiais,Encargos especiais,"17.585.585,00","17.585.585,00",MÚLTIPLO
123086,Átila Lira,2024,0001,Emenda Individual - Transferências com Finalidade Definida,Saúde,"18.936.000,00","18.936.000,00",MÚLTIPLO
123086,Átila Lira,2025,0003,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"195.595,33","195.595,33",Nacional
123086,Átila Lira,2025,0001,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"199.996,43","47.960,00",Nacional
123086,Átila Lira,2025,0006,Emenda Individual - Transferências com Finalidade Definida,Agricultura,"411.597,49","36.800,82",PIAUÍ (UF)
123086,Átila Lira,2025,0002,Emenda Individual - Transferências com Finalidade Definida,Educação,"799.978,81","23.708,81",PIAUÍ (UF)
123086,Átila Lira,2025,0005,Emenda Individual - Transferências Especiais,Encargos especiais,"16.975.984,15","16.806.225,15",MÚLTIPLO
123086,Átila Lira,2025,0004,Emenda Individual - Transferências com Finalidade Definida,Saúde,"26.553.000,00","22.800.000,00",MÚLTIPLO
220699,Castro Neto,2024,0003,Emenda Individual - Transferências com Finalidade Definida,Gestão ambiental,"100.000,00","100.000,00",PIAUÍ (UF)
220699,Castro Neto,2024,0002,Emenda Individual - Transferências Especiais,Encargos especiais,"18.835.792,00","18.835.792,00",MÚLTIPLO
220699,Castro Neto,2024,0001,Emenda Individual - Transferências com Finalidade Definida,Saúde,"18.935.793,00","18.935.793,00",MÚLTIPLO
220699,Castro Neto,2025,0005,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,"196.571,38","7.575,24",Nacional
220699,Castro Neto,2025,0007,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"197.052,35","197.052,35",Nacional
220699,Castro Neto,2025,0006,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"199.994,28","0,00",Nacional
220699,Castro Neto,2025,0004,Emenda Individual - Transferências com Finalidade Definida,Organização agrária,"50,00","0,00",PIAUÍ (UF)
220699,Castro Neto,2025,0003,Emenda Individual - Transferências com Finalidade Definida,Assistência social,"50,00","50,00",TERESINA - PI
220699,Castro Neto,2025,0002,Emenda Individual - Transferências Especiais,Encargos especiais,"1.500,00","1.485,00",MÚLTIPLO
220699,Castro Neto,2025,0001,Emenda Individual - Transferências com Finalidade Definida,Saúde,"29.397.652,00","22.575.985,00",MÚLTIPLO
220688,Dr. Francisco,2024,0012,Emenda Individual - Transferências com Finalidade Definida,Saúde,"199.821,00","199.821,00",MIGUEL ALVES - PI
220688,Dr. Francisco,2024,0013,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"20,00","20,00",Nacional
220688,Dr. Francisco,2024,0015,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,"20,00","0,00",Nacional
220688,Dr. Francisco,2024,0014,Emenda Individual - Transferências com Finalidade Definida,Administração,"20,00","20,00",Nacional
220688,Dr. Francisco,2024,0011,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,"30,00","0,00",PIAUÍ (UF)
