parlamentar_id,ano,num_contrato,orgao,nome_contratada,valor_contratado,objeto,status
PI-EXEC-GOVERNADOR,2023,127/2023,SECRETARIA DA SAÚDE,C.L. BEzERRA REPRESENTAÇÕES LTDA,255889150.0,REFORMA DA COBERTURA E DA INSTALAÇÃO ELÉTRICA DO PRÉDIO DA SESAPI.,Encerrado
PI-EXEC-GOVERNADOR,2023,340/2023,SECRETARIA DA SAÚDE,INTEGRA SAUDE DIGITAL TELEMEDICINA LTDA,180088627.0,"O objeto do presente contrato é a Contratação de solução inovadora e exclusiva denominada de Plataforma de Saúde Digital, de empresa especializada para implantação de projeto de modernização tecnológica da área da saúde para todos os municípios do estado do Piauí, que envolverá a prestação de serviços contínuos de telemedicina em Plataforma de Saúde Digital, incluindo a disponibilização das licenças com instalação, customização e treinamento, de tecnologia para compartilhamento de informações e emissão de laudos médicos  à distância, com interoperabilidade com outras bases de dados",Em vigência
PI-EXEC-GOVERNADOR,2023,070/2023,DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI,CONSORCIO SOLUBS,92284213.78,"Contratação de Empresa Especializada para a Execução de 672.000,00 m² de Pavimentação Asfáltica em diversas Vias dos Municípios localizados no Território de Desenvolvimento dos Cocais - TD-02, conforme especificações técnicas previstas no Termo de Referência e Projeto Básico.",Em vigência
PI-EXEC-GOVERNADOR,2023,086/2023,IDEPI - INSTITUTO DE DESENVOLVIMENTO DO PIAUI,CONSTRUTORA E INCORPORADORA SOMA LTDA,84833100.99,"REGISTRO DE PREÇOS PARA FINS DE FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DO SERVIÇO COMUM DE ENGENHARIA PARA INTERVENÇÃO NA INFRAESTRUTURA VIÁRIA EXISTENTE NOS MUNICÍPIOS LOCALIZADOS NO TERRITÓRIO DE DESENVOLVIMENTO DO VALE DO RIO GUARIBAS – TD6  OBJETIVANDO A (I) APLICAÇÃO DE CAPEAMENTO ASFÁLTICO EM CBUQ (CONCRETO BETUMINOSO USINADO A QUENTE) PARA    O MELHORAMENTO DE VIAS PAVIMENTADAS EM PARALELEPÍPEDO COM ÁREA DE 570.000,00 M² E (II) APLICAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM TSD (TRATAMENTO SUPERFICIAL DUPLO) VISANDO O MELHORAMENTO DE “ESTRADAS VICINAIS  EM REVESTIMENTO PRIMÁRIO” COM ÁREA DE 570.000,00 M², TOTALIZANDO 1.140.000,00 M² DE PAVIMENTAÇÃO.",Aguarda informações
PI-EXEC-GOVERNADOR,2023,069/2023,IDEPI - INSTITUTO DE DESENVOLVIMENTO DO PIAUI,CONSTRUTURA OTIMA LTDA,84765396.19,"REGISTRO DE PREÇOS PARA FINS DE FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DO SERVIÇO COMUM DE ENGENHARIA PARA INTERVENÇÃO NA INFRAESTRUTURA VIÁRIA EXISTENTE NOS MUNICÍPIOS LOCALIZADOS NO TERRITÓRIO DE DESENVOLVIMENTO DA PLANÍCIE LITORÂNEA – TD 01 OBJETIVANDO A (I) APLICAÇÃO DE CAPEAMENTO ASFÁLTICO EM CBUQ (CONCRETO BETUMINOSO USINADO A QUENTE) PARA O MELHORAMENTO DE VIAS PAVIMENTADAS EM PARALELEPÍPEDO COM ÁREA DE 510.000,00 M² E (II) APLICAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM TSD (TRATAMENTO SUPERFICIAL DUPLO) VISANDO O MELHORAMENTO DE “ESTRADAS VICINAIS EM REVESTIMENTO PRIMÁRIO” COM ÁREA DE 510.000,00 M², TOTALIZANDO 1.020.000,00 M² DE PAVIMENTAÇÃO.",Aguarda informações
PI-EXEC-GOVERNADOR,2023,018/2023,DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI,Construtora Jurema Ltda,83283526.97,"Execução dos Serviços de Conservação e Manutenção da Malha Rodoviária Estadual compreendendo as Rodovias Estaduais, Acessos de Ligação, Anéis, Contornos e Arcos do Território de Desenvolvimento Entre Rios – TD-04, que abrange as seguintes Rodovias: PI- 111; 112; 113; 130; 144; 221; 223; 231; 232; 236; 350; 363; 366; 383; 451 e ligação, trechos: Entr. BRr-343 / Olho D'Àgua do Piauí - 5 km; Estaca Zero / Agricolândia - 8 km; Agricolândia / São Pedro - 14 km; Olho D'Água do Piauí / Barro Duro - 10 km; Entr. BR-343 / Água Branca - 4 km; Entr. BR-343 / São Pedro do Piauí - 4 km; Entr. BR-343 / Regeneração - 6 km; Entr. BR-343 / Angical do Piauí - 3 km; Contorno de José de Freitas - 3 km; Agricolândia / Lagoinha do Piauí - 7 km; Entr. BR-343 / Santo Antonio dos Milagres - 3 km; Contorno de Regeneração - 7 km; Entr. PI-112 / Div. Maranhão - 10 km; Entr. BR-343 / Usina Santana - 11 km; Entr. PI-221 / Pau D'Arco - 17 km; Entr. PI-112(União) / Lagoa Alegre - 38 km; Teresina / União - 59 km; União / Miguel Alves - 53 km; Miguel Alves / Porto - 54 km; Teresina / Jose de Freitas - 37 km; Jose de Freitas / Cabeceiras - 45 km; Teresina / Palmeirais - 108 km; Palmeirais / Amarante - 45 km; Regeneração / Tanque - 66 km; Altos / Alto Longá - 39 km; Estaca Zero / Beneditinos - 32 km; Entr. BR-343 / São Gonçalo do Piauí - 6 km; Entr. BR-316 / Miguel Leão - 18 km; Agua Branca / Hugo Napoleão - 13 km; Entr. BR-316 / Curralinhos - 18 km; Entr. PI-112 / David Caldas - 11 km; José de Freitas / Lagoa Alegre - 29 km; Entr. BR-343(Angical do Piauí) / Jardim do Mulato - 12 km; Alto Longá / São João da Serra - 53 km, com extensão total de 848,00 km.",Rescindido
PI-EXEC-GOVERNADOR,2023,087/2023,IDEPI - INSTITUTO DE DESENVOLVIMENTO DO PIAUI,CONSTRUTORA E INCORPORADORA SOMA LTDA,80445804.53,"REGISTRO DE PREÇOS PARA FINS DE FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DO SERVIÇO COMUM DE ENGENHARIA PARA INTERVENÇÃO NA INFRAESTRUTURA VIÁRIA EXISTENTE NOS MUNICÍPIOS LOCALIZADOS NO TERRITÓRIO DE DESENVOLVIMENTO DO VALE DO RIO ITAIM – TD 12  OBJETIVANDO A (I) APLICAÇÃO DE CAPEAMENTO ASFÁLTICO EM CBUQ (CONCRETO BETUMINOSO USINADO A QUENTE) PARA    O MELHORAMENTO DE VIAS PAVIMENTADAS EM PARALELEPÍPEDO COM ÁREA DE 510.000,00 M² E (II) APLICAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM TSD (TRATAMENTO SUPERFICIAL DUPLO) VISANDO O MELHORAMENTO DE “ESTRADAS VICINAIS  EM REVESTIMENTO PRIMÁRIO” COM ÁREA DE 510.000,00 M², TOTALIZANDO 1.020.000,00 M² DE PAVIMENTAÇÃO.",Aguarda informações
PI-EXEC-GOVERNADOR,2023,083/2023,DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI,CONSORCIO VALE DOS RIOS PIAUI E ITAUEIRA,79829850.91,"Contratação de Empresa Especializada para a Execução de 528.000 m² de Pavimentação Asfáltica em diversas Vias dos Municípios localizados no Território de Desenvolvimento do Vale dos Rios Piauí e Itaueira - TD-09, conforme especificações técnicas previstas no Termo de Referência e Projeto Básico.",Em vigência
PI-EXEC-GOVERNADOR,2023,016/2023,DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI,PRO ENGENHARIA ,79624921.42,"Execução dos Serviços de Conservação e Manutenção da Malha Rodoviária Estadual compreendendo as Rodovias Estaduais, Acessos de Ligação, Anéis, Contornos e Arcos do Território de Desenvolvimento Chapada das Mangabeiras – TD-11, que abrange as seguintes Rodovias: PI-235; PI-252; PI-255; PI-257; PI-262; PI-280; PI-394; PI-395; PI-411; PI413; PI-415; LIGAÇÃO e outros, trechos: Entr. BR-135 / Alvorada do Gurguéia - 2,00 km; Bom Jesus / Currais - 8,00 km; Entr. BR-135 / Santa Luz - 15,00 km; Corrente / Parnagua - 78,00 km; Parnagua / Curimata - 48,00 km; Curimatá / Avelino Lopes - 44,00 km; Entr. BR-135 / Redenção do Gurguéia - 2,00 km; Curimata/ Redenção do Gurgueia - 84,00 km; Entr. BR-135 / Palestina - 12,00 km; Entr. BR-135 / Barreiras do Piauí - 20,00 km; Colônia do Gurguéia / Pov. Colônia do Padre - 8,00 km; Entr. BR-135 / Palmeira do Piauí - 10,00 km; Corrente / Riacho Frio - 49,00 km; Curimatá / Júlio Borges - 40,00 km; Entr. PI-255(Corrente) / Sebastião Barros - 58,00 km, com extensão total de 478,00 km.",Rescindido
PI-EXEC-GOVERNADOR,2023,067/2023,DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI,Construtora Jurema Ltda,73563152.49,"Contratação de Empresa Especializada para a Execução de 444.000,00 m² de Pavimentação Asfáltica em diversas Vias dos Municípios localizados no Território de Desenvolvimento dos Carnaubais - TD-03, conforme especificações técnicas previstas no Termo de Referência e Projeto Básico.",Rescindido
