parlamentar_id,ano,numero_ano,nome_proponente,nome_concedente,valor_total,objeto,situacao,tipo_termo
PI-EXEC-GOVERNADOR,2023,159/2023,"ASSOCIAÇÃO AMOR E FÉ ""ASAFE""","SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",96882.0,"Capacitar 50 (cinquenta) egressos da escola de música da Associação Amor e Fé (ASAFE) para atuação profissionalizada no ramo da música com foco nos instrumentos de percussão, corda e teclado, enquanto estratégia de ampliação das oportunidades de geração de renda e da continuidade da oferta de ensino musical na cidade de Oeiras (PI).",,Colaboração
PI-EXEC-GOVERNADOR,2023,158/2023,FEDERAÇÃO DE ESPORTE CULTURA E ASSISTÊNCIA SOCIAL DO PIAUÍ - FECASP,SECRETARIA DE ESTADO  DOS ESPORTES - SECEPI,238000.0,"PROMOVER EVENTO ESPORTIVO QUE ENGLOBE AS MODALIDADES DE CAIAQUE, CORRIDA EM TRILHA E NATAÇÃO .",Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2023,157/2023,AÇÃO SOCIAL ARQUIDIOCESANA - ASA,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",100000.0,"Ajuda de custo para despesas permanentes como água, gás, telefone e alimentação, aquisição de eletrodomésticos e equipamentos para uso de pacientes/equipe e pagamento de serviços de terceiros durante um período de 09 meses.",,Fomento
PI-EXEC-GOVERNADOR,2023,156/2023,ASSOCIAÇÃO DE PEQUENOS PRODUTORES APP DA COMUNIDADE LAGOA DO JUÁ,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,150000.0,"Apoio financeiro para aquisição de uma mini usina móvel para processamento mínimo de algodão (descaroçar e pensar) para fortalecer a agricultura familiar na comunidade Lagoa do Juá, município de São Francisco de Assis - PI.",,Fomento
PI-EXEC-GOVERNADOR,2023,118/2023,INSTITUTO COMRADIO DO BRASIL - UBIQUA,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,200000.0,"Realizar o PUNARÉ FESTIVAL ENTRE RIOS DE ARTE E CULTURA DA ZONA NORTE DE TERESINA, com 06 (seis) edições do projeto em escolas, praças e espaços comunitários de bairros da zona norte de Teresina, mobilizando famílias, escolas e toda a comunidade em geral.",,Fomento
PI-EXEC-GOVERNADOR,2023,117/2023,INSTITUTO AVANTE DE JUVENTUDE - INSTITUTO AVANTE ,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,250000.0,"1.1. O presente Termo de Fomento tem por objeto a realização do PROJETO NEW HIP HOP CULTURA EM MOVIMENTO no município de Teresina – PI, de acordo com o Plano de Trabalho devidamente aprovado e condições fixadas neste instrumento e seus anexos.",,Fomento
PI-EXEC-GOVERNADOR,2023,191/2023,AÇÃO SOCIAL ARQUIDIOCESANA - ASA,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",199989.3,aquisição de alimentação para todos os serviços executados pela ASA,,Fomento
PI-EXEC-GOVERNADOR,2023,190/2023,ASSOCIAÇÃO JUVENTUDE SOLIDÁRIA,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",200000.0,aquisição de alimentação para todos os serviços executados pela ASA,Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2023,189/2023,CENTRO DE FORMAÇÃO MANDACARU DE PEDRO II ,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,767168.58,Implementação de tecnologia social de acesso à água para consumo humano por meio da construção de 136 cisternas calçadão de 16 mil litros para os municípios dos Territórios dos Carnaubais e Planície Litorânea (Lote 2).,Termo em elaboração,Colaboração
PI-EXEC-GOVERNADOR,2023,188/2023,CENTRO DE EDUCAÇÃO AMBIENTAL E ASSESSORIA - CEAA,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,767168.58,Implementação de tecnologia social de acesso à água para consumo humano por meio da construção de 136 cisternas calçadão de 16 mil litros para os municípios do Território dos Cocais (Lote 4).,,Colaboração
