parlamentar_id,ano,modalidade,qtd,valor_total_previsto
PI-EXEC-GOVERNADOR,2023,Tomada de preço,194,214365040.60999995
PI-EXEC-GOVERNADOR,2023,Pregão,300,3815800835.5700026
PI-EXEC-GOVERNADOR,2023,Concorrência,251,3914804372.9100027
PI-EXEC-GOVERNADOR,2023,Licitação-Estatais,39,160713216.3
PI-EXEC-GOVERNADOR,2023,Credenciamento,18,117059786.89
PI-EXEC-GOVERNADOR,2023,Licitação RDC,66,89421211.46000002
PI-EXEC-GOVERNADOR,2023,Convite,33,8258471.809999999
PI-EXEC-GOVERNADOR,2023,Chamada pública,10,116160584.43
PI-EXEC-GOVERNADOR,2023,Outras,7,20208871.68
PI-EXEC-GOVERNADOR,2023,Concurso,1,30000.0
PI-EXEC-GOVERNADOR,2023,Comparação de preços,5,5685895.19
PI-EXEC-GOVERNADOR,2024,Credenciamento,20,346027765.82
PI-EXEC-GOVERNADOR,2024,Concorrência,469,15648815271.14002
PI-EXEC-GOVERNADOR,2024,Tomada de preço,618,654392751.8500004
PI-EXEC-GOVERNADOR,2024,Pregão,254,6058550213.320001
PI-EXEC-GOVERNADOR,2024,Chamada pública,43,5272900325.03
PI-EXEC-GOVERNADOR,2024,Manifestação de interesse,13,124483296.99
PI-EXEC-GOVERNADOR,2024,Outras,12,55671043.1
PI-EXEC-GOVERNADOR,2024,Licitação-Estatais,125,42104860.47999998
PI-EXEC-GOVERNADOR,2024,Comparação de preços,4,300627508.37
PI-EXEC-GOVERNADOR,2024,Concurso,1,25500.0
PI-EXEC-GOVERNADOR,2024,Convite,54,13581107.51
PI-EXEC-GOVERNADOR,2024,Licitação RDC,8,15139394.22
PI-EXEC-GOVERNADOR,2024,Aviso de Dispensa,1,428400.0
PI-EXEC-GOVERNADOR,2025,Concorrência,736,4173520483.829998
PI-EXEC-GOVERNADOR,2025,Pregão,200,2818800714.92
PI-EXEC-GOVERNADOR,2025,Manifestação de interesse,47,8351875.92
PI-EXEC-GOVERNADOR,2025,Chamada pública,23,339934382.67
PI-EXEC-GOVERNADOR,2025,Licitação-Estatais,54,303917464.59999996
PI-EXEC-GOVERNADOR,2025,Outras,18,3456616.98
PI-EXEC-GOVERNADOR,2025,Aviso de Dispensa,31,1115133.94
PI-EXEC-GOVERNADOR,2025,Credenciamento,35,158160393.56
PI-EXEC-GOVERNADOR,2025,Comparação de preços,4,70086313.0
PI-EXEC-GOVERNADOR,2025,Concurso,1,37500.0
PI-EXEC-GOVERNADOR,2026,Licitação-Estatais,64,58929795.51
PI-EXEC-GOVERNADOR,2026,Concorrência,1526,3966527804.199997
PI-EXEC-GOVERNADOR,2026,Pregão,137,909024708.4399997
PI-EXEC-GOVERNADOR,2026,Outras,41,76473154.47
PI-EXEC-GOVERNADOR,2026,Concurso,1,37500.0
PI-EXEC-GOVERNADOR,2026,Manifestação de interesse,44,4467828.8
PI-EXEC-GOVERNADOR,2026,Comparação de preços,5,2928331.8
PI-EXEC-GOVERNADOR,2026,Aviso de Dispensa,64,18639826.21
PI-EXEC-GOVERNADOR,2026,Credenciamento,15,292357400.28
PI-EXEC-GOVERNADOR,2026,Chamada pública,4,12252595.45
PI-EXEC-GOVERNADOR,2026,Leilão,1,194538.58
